,Abdera,Abydos,Adramyttion,Aigospotamoi,Ainos,Alexandria Troas,Alopekonnesos,Anchialos,Antandros,Antiocheia Troas,Apollonia Pontica,Apollonia ad Rhyndacum,Assos,Atarneus,Attaea,Augusta Traiana,Birytis,Bisanthe,Bizye,Byzantion,Chersonesus Thracica,Dardanos,Deultum,Dikaia,Dionysopolis,Elaious,Gambrion,Gargara,Gentinos,Gergis,Germe,Hadrianeia,Hadrianoi,Hadrianopolis,Hadrianotherai,Hamaxitos,Hephaistia,Ilion,Imbros,Iolla,Istros,Kabyle,Kallatis,Kardia,Kebren,Kisthene,Koila,Kolonai,Kypsela,Kyzikos,Lamponeia,Lampsakos,Lysimacheia,Madytos,Markianopolis,Maroneia,Mesembria,Miletoupolis,Myrina,Neandreia,Nikopolis ad Istrum,Nikopolis ad Mestum,Odessos,Ophryneion,Orthagoria,Parion,Pautalia,Pergamon,Perinthos,Perperene,Philippopolis,Pionia,Pitane,Plakia,Plotinopolis,Poimanenon,Priapos,Prokonnesos,Samothrake,Selymbria,Serdika,Sestos,Sigeion,Skamandria,Skepsis,Tenedos,Thasos,Tomis,Topeiros,Traianopolis,Unknown,Zeleia,accuracy,macro avg,weighted avg
precision,0.9965576592082617,0.9956140350877193,0.9879518072289156,1.0,0.9940828402366864,0.9901960784313726,1.0,0.9923076923076923,1.0,1.0,1.0,0.9923076923076923,0.9941176470588236,1.0,1.0,0.9978768577494692,0.9714285714285714,1.0,0.9912280701754386,0.9861751152073732,1.0,1.0,0.9792387543252595,1.0,1.0,1.0,1.0,0.9791666666666666,1.0,1.0,0.9695121951219512,1.0,0.9736842105263158,0.9797101449275363,1.0,1.0,0.9868421052631579,0.9833887043189369,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9934994582881906,1.0,0.9802513464991023,0.9894736842105263,1.0,0.994269340974212,0.99830220713073,1.0,0.9914529914529915,1.0,1.0,0.9810606060606061,1.0,0.9848484848484849,0.9714285714285714,1.0,0.987012987012987,1.0,0.9861878453038674,0.9844444444444445,0.9855072463768116,0.9921925829538061,1.0,0.9803921568627451,1.0,1.0,1.0,1.0,0.9787234042553191,0.9902912621359223,1.0,0.9751552795031055,0.9795918367346939,0.967741935483871,1.0,0.9917355371900827,1.0,0.9841269841269841,0.9892703862660944,1.0,0.9781021897810219,0.9817629179331308,1.0,0.9896137435436784,0.9926843753786537,0.9896608584716172
recall,0.9965576592082617,0.9956140350877193,0.9800796812749004,1.0,0.9940828402366864,1.0,0.8823529411764706,0.9699248120300752,0.9882352941176471,0.9545454545454546,1.0,0.9699248120300752,0.9825581395348837,1.0,0.9452054794520548,0.9894736842105263,1.0,1.0,0.9416666666666667,0.9961210240496509,1.0,0.9891304347826086,0.9860627177700348,1.0,0.9642857142857143,0.9642857142857143,0.9911504424778761,0.9791666666666666,1.0,1.0,0.99375,0.9615384615384616,0.925,0.9854227405247813,0.90625,1.0,0.9615384615384616,0.9949579831932773,1.0,0.8846153846153846,0.994535519125683,1.0,0.9943181818181818,1.0,0.9764705882352941,0.9411764705882353,0.9743589743589743,1.0,1.0,0.9945770065075922,1.0,0.9963503649635036,0.9791666666666666,1.0,0.994269340974212,0.9966101694915255,0.9931972789115646,0.9830508474576272,0.9629629629629629,0.9565217391304348,0.9847908745247148,0.8823529411764706,0.9774436090225563,1.0,1.0,0.9806451612903225,1.0,0.9977641140301845,0.9888392857142857,0.9315068493150684,0.9954308093994778,0.972972972972973,0.970873786407767,1.0,0.9047619047619048,1.0,1.0,0.9787234042553191,0.9807692307692307,0.9777777777777777,0.9691358024691358,0.9896907216494846,0.9090909090909091,0.9583333333333334,0.9917355371900827,1.0,0.9973190348525469,0.9935344827586207,0.95,0.9710144927536232,0.9758308157099698,0.9545454545454546,0.9896137435436784,0.9782168115463449,0.9896137435436784
f1-score,0.9965576592082617,0.9956140350877193,0.984,1.0,0.9940828402366864,0.9950738916256158,0.9375,0.9809885931558935,0.9940828402366864,0.9767441860465117,1.0,0.9809885931558935,0.9883040935672515,1.0,0.971830985915493,0.9936575052854123,0.9855072463768115,1.0,0.9658119658119658,0.9911231184870706,1.0,0.994535519125683,0.982638888888889,1.0,0.9818181818181818,0.9818181818181818,0.9955555555555555,0.9791666666666666,1.0,1.0,0.9814814814814815,0.9803921568627451,0.9487179487179489,0.9825581395348838,0.9508196721311475,1.0,0.974025974025974,0.989139515455305,0.9841269841269841,0.9387755102040816,0.9972602739726028,1.0,0.9971509971509972,1.0,0.988095238095238,0.9696969696969697,0.9870129870129869,1.0,1.0,0.9940379403794039,1.0,0.988235294117647,0.9842931937172775,1.0,0.994269340974212,0.9974554707379135,0.9965870307167235,0.9872340425531915,0.9811320754716981,0.9777777777777777,0.98292220113852,0.9375,0.981132075471698,0.9855072463768115,1.0,0.9838187702265372,1.0,0.9919422061683801,0.9866369710467706,0.9577464788732394,0.9938090583251874,0.9863013698630138,0.975609756097561,1.0,0.9500000000000001,1.0,1.0,0.9787234042553191,0.9855072463768114,0.9887640449438202,0.9721362229102167,0.9846153846153847,0.9374999999999999,0.9787234042553191,0.9917355371900827,1.0,0.9906790945406125,0.9913978494623655,0.9743589743589743,0.9745454545454545,0.9787878787878787,0.9767441860465117,0.9896137435436784,0.9851611019441533,0.989576426127119
support,581.0,456.0,251.0,18.0,338.0,101.0,17.0,133.0,85.0,22.0,22.0,133.0,172.0,36.0,73.0,475.0,34.0,32.0,120.0,1289.0,201.0,184.0,287.0,66.0,28.0,28.0,113.0,96.0,15.0,20.0,160.0,52.0,40.0,343.0,32.0,17.0,78.0,595.0,62.0,26.0,183.0,13.0,176.0,38.0,85.0,17.0,78.0,15.0,22.0,922.0,10.0,548.0,96.0,19.0,349.0,590.0,294.0,118.0,27.0,23.0,263.0,17.0,133.0,34.0,16.0,155.0,6.0,1789.0,896.0,73.0,1532.0,37.0,103.0,24.0,21.0,18.0,56.0,47.0,104.0,45.0,162.0,97.0,33.0,24.0,242.0,83.0,373.0,464.0,20.0,138.0,331.0,22.0,0.9896137435436784,17812.0,17812.0
