,Abdera,Abydos,Adramyttion,Aigospotamoi,Ainos,Alexandria Troas,Alopekonnesos,Anchialos,Antandros,Antiocheia Troas,Apollonia Pontica,Apollonia ad Rhyndacum,Assos,Atarneus,Attaea,Augusta Traiana,Birytis,Bisanthe,Bizye,Byzantion,Chersonesus Thracica,Dardanos,Deultum,Dikaia,Dionysopolis,Elaious,Gambrion,Gargara,Gentinos,Gergis,Germe,Hadrianeia,Hadrianoi,Hadrianopolis,Hadrianotherai,Hamaxitos,Hephaistia,Ilion,Imbros,Iolla,Istros,Kabyle,Kallatis,Kardia,Kebren,Kisthene,Koila,Kolonai,Kypsela,Kyzikos,Lamponeia,Lampsakos,Lysimacheia,Madytos,Markianopolis,Maroneia,Mesembria,Miletoupolis,Myrina,Neandreia,Nikopolis ad Istrum,Nikopolis ad Mestum,Odessos,Ophryneion,Orthagoria,Parion,Pautalia,Pergamon,Perinthos,Perperene,Philippopolis,Pionia,Pitane,Plakia,Plotinopolis,Poimanenon,Priapos,Prokonnesos,Samothrake,Selymbria,Serdika,Sestos,Sigeion,Skamandria,Skepsis,Tenedos,Thasos,Tomis,Topeiros,Traianopolis,Unknown,Zeleia,accuracy,macro avg,weighted avg
precision,0.9965694682675815,0.9978021978021978,0.9919028340080972,1.0,0.9970326409495549,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,0.9923664122137404,0.9941520467836257,1.0,1.0,1.0,1.0,1.0,0.9912280701754386,0.9876828329484219,1.0,1.0,0.9826388888888888,1.0,1.0,1.0,1.0,0.9791666666666666,1.0,1.0,0.9815950920245399,1.0,0.975,0.9826589595375722,1.0,1.0,1.0,0.9883333333333333,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956616052060737,1.0,0.9785330948121646,0.9894736842105263,1.0,0.994269340974212,1.0,1.0,1.0,1.0,1.0,0.9847908745247148,1.0,0.9848484848484849,1.0,1.0,0.9935064935064936,1.0,0.9889258028792912,0.9845132743362832,1.0,0.9928432010409889,1.0,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,0.9903846153846154,1.0,0.98125,0.9795918367346939,0.96875,1.0,0.995850622406639,1.0,0.986737400530504,0.9892933618843683,1.0,0.9784172661870504,0.99079754601227,1.0,0.9916909948349427,0.9949533707167586,0.9917372736258336
recall,1.0,0.9956140350877193,0.9760956175298805,1.0,0.9940828402366864,1.0,0.8823529411764706,0.9699248120300752,0.9882352941176471,1.0,1.0,0.9774436090225563,0.9883720930232558,1.0,0.9726027397260274,0.991578947368421,1.0,1.0,0.9416666666666667,0.9953452288595811,1.0,0.9945652173913043,0.9860627177700348,1.0,0.9642857142857143,0.9642857142857143,1.0,0.9791666666666666,1.0,1.0,1.0,0.9615384615384616,0.975,0.9912536443148688,0.90625,1.0,0.9615384615384616,0.9966386554621849,1.0,0.8846153846153846,0.994535519125683,1.0,0.9943181818181818,1.0,1.0,1.0,0.9871794871794872,1.0,1.0,0.9956616052060737,1.0,0.9981751824817519,0.9791666666666666,1.0,0.994269340974212,0.9966101694915255,0.9965986394557823,0.9830508474576272,1.0,0.9565217391304348,0.9847908745247148,0.8823529411764706,0.9774436090225563,1.0,1.0,0.9870967741935484,1.0,0.9983230855226384,0.9933035714285714,0.9315068493150684,0.9960835509138382,0.972972972972973,0.9805825242718447,1.0,0.9047619047619048,1.0,1.0,1.0,0.9903846153846154,0.9777777777777777,0.9691358024691358,0.9896907216494846,0.9393939393939394,0.9583333333333334,0.9917355371900827,1.0,0.9973190348525469,0.9956896551724138,0.95,0.9855072463768116,0.9758308157099698,1.0,0.9916909948349427,0.9830936954251679,0.9916909948349427
f1-score,0.9982817869415808,0.9967069154774972,0.9839357429718876,1.0,0.9955555555555555,0.9950738916256158,0.9375,0.9847328244274809,0.9940828402366864,1.0,1.0,0.9848484848484848,0.9912536443148688,1.0,0.9861111111111112,0.9957716701902748,1.0,1.0,0.9658119658119658,0.991499227202473,1.0,0.9972752043596731,0.9843478260869565,1.0,0.9818181818181818,0.9818181818181818,1.0,0.9791666666666666,1.0,1.0,0.9907120743034055,0.9803921568627451,0.975,0.9869375907111756,0.9508196721311475,1.0,0.9803921568627451,0.9924686192468619,0.9841269841269841,0.9387755102040816,0.9972602739726028,1.0,0.9971509971509972,1.0,1.0,1.0,0.9935483870967742,1.0,1.0,0.9956616052060737,1.0,0.988256549232159,0.9842931937172775,1.0,0.994269340974212,0.99830220713073,0.9982964224872232,0.9914529914529915,1.0,0.9777777777777777,0.9847908745247148,0.9375,0.981132075471698,1.0,1.0,0.9902912621359222,1.0,0.9936022253129347,0.9888888888888889,0.9645390070921985,0.9944607363962203,0.9863013698630138,0.9853658536585367,1.0,0.9500000000000001,1.0,1.0,1.0,0.9903846153846154,0.9887640449438202,0.9751552795031055,0.9846153846153847,0.9538461538461539,0.9787234042553191,0.9937888198757764,1.0,0.992,0.9924812030075189,0.9743589743589743,0.9819494584837546,0.9832572298325724,1.0,0.9916909948349427,0.9887791640604808,0.9916598782619365
support,581.0,456.0,251.0,18.0,338.0,101.0,17.0,133.0,85.0,22.0,22.0,133.0,172.0,36.0,73.0,475.0,34.0,32.0,120.0,1289.0,201.0,184.0,287.0,66.0,28.0,28.0,113.0,96.0,15.0,20.0,160.0,52.0,40.0,343.0,32.0,17.0,78.0,595.0,62.0,26.0,183.0,13.0,176.0,38.0,85.0,17.0,78.0,15.0,22.0,922.0,10.0,548.0,96.0,19.0,349.0,590.0,294.0,118.0,27.0,23.0,263.0,17.0,133.0,34.0,16.0,155.0,6.0,1789.0,896.0,73.0,1532.0,37.0,103.0,24.0,21.0,18.0,56.0,47.0,104.0,45.0,162.0,97.0,33.0,24.0,242.0,83.0,373.0,464.0,20.0,138.0,331.0,22.0,0.9916909948349427,17812.0,17812.0
